time_sec,frame,speed_mps,obstacle_ratio,override,brake,collision,roi_lookahead_px,min_obstacle_dist_px
78.450,19392,0.000,0.00000,0,0.000,0,100,
78.500,19393,0.000,0.00000,0,0.000,0,100,
78.550,19394,0.000,0.00000,0,0.000,0,100,
78.600,19395,0.000,0.00000,0,0.000,0,100,
78.650,19396,0.000,0.00000,0,0.000,0,100,
78.700,19397,0.000,0.00000,0,0.000,0,100,
78.750,19398,0.000,0.00000,0,0.000,0,100,
78.800,19399,0.000,0.00000,0,0.000,0,100,
78.850,19400,0.000,0.00000,0,0.000,0,100,
78.900,19401,0.000,0.00000,0,0.000,0,100,
78.950,19402,0.000,0.00000,0,0.000,0,100,
79.000,19403,0.000,0.00000,0,0.000,0,100,
79.050,19404,0.000,0.00000,0,0.000,0,100,
79.100,19405,0.000,0.00000,0,0.000,0,100,
79.150,19406,0.000,0.00000,0,0.000,0,100,
79.200,19407,0.000,0.00000,0,0.000,0,100,
79.250,19408,0.000,0.00000,0,0.000,0,100,
79.300,19409,0.000,0.00000,0,0.000,0,100,
79.350,19410,0.000,0.00000,0,0.000,0,100,
79.400,19411,0.000,0.00000,0,0.000,0,100,
79.450,19412,0.000,0.00000,0,0.000,0,100,
79.500,19413,0.000,0.00000,0,0.000,0,100,
79.550,19414,0.000,0.00000,0,0.000,0,100,
79.600,19415,0.000,0.00000,0,0.000,0,100,
79.650,19416,0.000,0.00000,0,0.000,0,100,
79.700,19417,0.000,0.00000,0,0.000,0,100,
79.750,19418,0.000,0.00000,0,0.000,0,100,
79.800,19419,0.000,0.00000,0,0.000,0,100,
79.850,19420,0.000,0.00000,0,0.000,0,100,
79.900,19421,0.000,0.00000,0,0.000,0,100,
79.950,19422,0.000,0.00000,0,0.000,0,100,
80.000,19423,0.000,0.00000,0,0.000,0,100,
80.050,19424,0.000,0.00000,0,0.000,0,100,
80.100,19425,0.000,0.00000,0,0.000,0,100,
80.150,19426,0.000,0.00000,0,0.000,0,100,
80.200,19427,0.000,0.00000,0,0.000,0,100,
80.250,19428,0.000,0.00000,0,0.000,0,100,
80.300,19429,0.000,0.00000,0,0.000,0,100,
80.350,19430,0.000,0.00000,0,0.000,0,100,
80.400,19431,0.000,0.00000,0,0.000,0,100,
80.450,19432,0.000,0.00000,0,0.000,0,100,
80.500,19433,0.000,0.00000,0,0.000,0,100,
80.550,19434,0.000,0.00000,0,0.000,0,100,
80.600,19435,0.000,0.00000,0,0.000,0,100,
80.650,19436,0.000,0.00000,0,0.000,0,100,
80.700,19437,0.000,0.00000,0,0.000,0,100,
80.750,19438,0.000,0.00000,0,0.000,0,100,
80.800,19439,0.000,0.00000,0,0.000,0,100,
80.850,19440,0.000,0.00000,0,0.000,0,100,
80.900,19441,0.000,0.00000,0,0.000,0,100,
80.950,19442,0.000,0.00000,0,0.000,0,100,
81.000,19443,0.000,0.00000,0,0.000,0,100,
81.050,19444,0.000,0.00000,0,0.000,0,100,
81.100,19445,0.000,0.00000,0,0.000,0,100,
81.150,19446,0.000,0.00000,0,0.000,0,100,
81.200,19447,0.000,0.00000,0,0.000,0,100,
81.250,19448,0.000,0.00000,0,0.000,0,100,
81.300,19449,0.000,0.00000,0,0.000,0,100,
81.350,19450,0.000,0.00000,0,0.000,0,100,
81.400,19451,0.000,0.00000,0,0.000,0,100,
81.450,19452,0.000,0.00000,0,0.000,0,100,
81.500,19453,0.000,0.00000,0,0.000,0,100,
81.550,19454,0.000,0.00000,0,0.000,0,100,
81.600,19455,0.000,0.00000,0,0.000,0,100,
81.650,19456,0.000,0.00000,0,0.000,0,100,
81.700,19457,0.000,0.00000,0,0.000,0,100,
81.750,19458,0.000,0.00000,0,0.000,0,100,
81.800,19459,0.000,0.00000,0,0.000,0,100,
81.850,19460,0.000,0.00000,0,0.000,0,100,
81.900,19461,0.000,0.00000,0,0.000,0,100,
81.950,19462,0.000,0.00000,0,0.000,0,100,
82.000,19463,0.000,0.00000,0,0.000,0,100,
82.050,19464,0.000,0.00000,0,0.000,0,100,
82.100,19465,0.000,0.00000,0,0.000,0,100,
82.150,19466,0.000,0.00000,0,0.000,0,100,
82.200,19467,0.000,0.00000,0,0.000,0,100,
82.250,19468,0.000,0.00000,0,0.000,0,100,
82.300,19469,0.000,0.00000,0,0.000,0,100,
82.350,19470,0.000,0.00000,0,0.000,0,100,
82.400,19471,0.000,0.00000,0,0.000,0,100,
82.450,19472,0.000,0.00000,0,0.000,0,100,
82.500,19473,0.000,0.00000,0,0.000,0,100,
82.550,19474,0.000,0.00000,0,0.000,0,100,
82.600,19475,0.000,0.00000,0,0.000,0,100,
82.650,19476,0.000,0.00000,0,0.000,0,100,
82.700,19477,0.000,0.00000,0,0.000,0,100,
82.750,19478,0.000,0.00000,0,0.000,0,100,
82.800,19479,0.000,0.00000,0,0.000,0,100,
82.850,19480,0.000,0.00000,0,0.000,0,100,
82.900,19481,0.000,0.00000,0,0.000,0,100,
82.950,19482,0.000,0.00000,0,0.000,0,100,
83.000,19483,0.000,0.00000,0,0.000,0,100,
83.050,19484,0.000,0.00000,0,0.000,0,100,
83.100,19485,0.000,0.00000,0,0.000,0,100,
83.150,19486,0.000,0.00000,0,0.000,0,100,
83.200,19487,0.000,0.00000,0,0.000,0,100,
83.250,19488,0.000,0.00000,0,0.000,0,100,
83.300,19489,0.000,0.00000,0,0.000,0,100,
83.350,19490,0.000,0.00000,0,0.000,0,100,
83.400,19491,0.000,0.00000,0,0.000,0,100,
83.450,19492,0.000,0.00000,0,0.000,0,100,
83.500,19493,0.000,0.00000,0,0.000,0,100,
83.550,19494,0.000,0.00000,0,0.000,0,100,
83.600,19495,0.000,0.00000,0,0.000,0,100,
83.650,19496,0.000,0.00000,0,0.000,0,100,
83.700,19497,0.000,0.00000,0,0.000,0,100,
83.750,19498,0.000,0.00000,0,0.000,0,100,
83.800,19499,0.000,0.00000,0,0.000,0,100,
83.850,19500,0.000,0.00000,0,0.000,0,100,
